Pathway name,#Entities total,Expected_Hits,#Entities found,Raw p,Holm p,Entities FDR
Glucose homeostasis,21,0.0172,3,2.75E-07,0.000939,0.000313
SLC-mediated transmembrane transport,168,0.138,4,1.36E-06,0.00465,0.00104
Lac-Phe pathway,3,0.00246,2,1.51E-06,0.00517,0.00104
Metabolism of vitamins and cofactors,202,0.166,4,2.86E-06,0.00978,0.00148
Oleoyl-phe metabolism,4,0.00328,2,3.03E-06,0.0103,0.00148
Transport of inorganic cations/anions and amino acids/oligopeptides,60,0.0492,3,7.03E-06,0.024,0.00282
"Transport of bile salts and organic acids, metal ions and amine compounds",79,0.0648,3,1.62E-05,0.0552,0.00554
Aerobic respiration and respiratory electron transport,95,0.0779,3,2.83E-05,0.0964,0.00879
Mitochondrial Uncoupling,12,0.00984,2,3.32E-05,0.113,0.00947
Amino acid metabolism,109,0.0894,3,4.28E-05,0.146,0.0105
Transcription/Translation,25,0.0205,2,0.00015,0.513,0.0343
Na+/Cl- dependent neurotransmitter transporters,32,0.0263,2,0.000248,0.846,0.0531
Amino acid transport across the plasma membrane,34,0.0279,2,0.000281,0.956,0.0542
Tryptophan catabolism,35,0.0287,2,0.000298,1,0.0542
Sensory Perception,209,0.171,3,0.000301,1,0.0542
Cytosolic tRNA aminoacylation,66,0.0541,2,0.00106,1,0.161
tRNA Aminoacylation,66,0.0541,2,0.00106,1,0.161
Mitochondrial tRNA aminoacylation,66,0.0541,2,0.00106,1,0.161
Metabolism of proteins,322,0.264,3,0.00109,1,0.161
Visual phototransduction,68,0.0558,2,0.00113,1,0.161
Defective SLC22A12 causes renal hypouricemia 1 (RHUC1),2,0.00164,1,0.00164,1,0.221
Translation,83,0.0681,2,0.00168,1,0.221
Interactions of natural killer cells in pancreatic cancer,3,0.00246,1,0.00246,1,0.312
Phenylketonuria,4,0.00328,1,0.00328,1,0.374
Hydroxycarboxylic acid-binding receptors,4,0.00328,1,0.00328,1,0.374
TCA cycle nutrient use and invasiveness of ovarian cancer,4,0.00328,1,0.00328,1,0.374
Defective MAT1A causes MATD,5,0.0041,1,0.0041,1,0.438
Methylation pathways,5,0.0041,1,0.0041,1,0.438
Metabolism of water-soluble vitamins and cofactors,133,0.109,2,0.00427,1,0.443
Proton-coupled monocarboxylate transport,7,0.00574,1,0.00573,1,0.47
Defective SLC16A1 causes symptomatic deficiency in lactate transport (SDLT),7,0.00574,1,0.00573,1,0.47
Roles of ceramides in development of insulin resistance,7,0.00574,1,0.00573,1,0.47
Class A/1 (Rhodopsin-like receptors),157,0.129,2,0.00592,1,0.47
GPCR downstream signalling,158,0.13,2,0.006,1,0.47
"Synthesis, secretion, and inactivation of Glucose-dependent Insulinotropic Polypeptide (GIP)",8,0.00656,1,0.00655,1,0.47
Organic anion transport,8,0.00656,1,0.00655,1,0.47
Glycolysis in senescence,8,0.00656,1,0.00655,1,0.47
"PGK1, PKM2, KHKC/KHKA acting as protein kinases",8,0.00656,1,0.00655,1,0.47
Diseases of metabolism,170,0.139,2,0.00692,1,0.47
Multifunctional anion exchangers,9,0.00738,1,0.00736,1,0.47
Defective SLC27A4 causes ichthyosis prematurity syndrome (IPS),9,0.00738,1,0.00736,1,0.47
Protein lipoylation,9,0.00738,1,0.00736,1,0.47
PI3K/AKT/mTOR - vitamin D3 signaling,9,0.00738,1,0.00736,1,0.47
Glucose metabolism in triple-negative breast cancer cells,9,0.00738,1,0.00736,1,0.47
