Pathway identifier,Pathway name,#Entities found,#Entities total,Entities ratio,Entities pValue,Entities FDR,#Reactions found,#Reactions total,Reactions ratio,Species identifier,Species name,Submitted entities found,Mapped entities,Found reaction identifiers
R-HSA-6783589,Interleukin-6 family signaling,3,28,0.002303579,2.65E-06,5.83E-05,19,34,0.002163813,9606,Homo sapiens,P20809;P08887,P08887-2;P20809;P08887,R-HSA-1112690;R-HSA-449829;R-HSA-1112755;R-HSA-1067667;R-HSA-1112565;R-HSA-1112727;R-HSA-1067640;R-HSA-1112602;R-HSA-1112604;R-HSA-1067676;R-HSA-1112510;R-HSA-1112703;R-HSA-1112514;R-HSA-1067651;R-HSA-1112708;R-HSA-1067688;R-HSA-1067659;R-HSA-9681294;R-HSA-449976
R-HSA-6785807,Interleukin-4 and Interleukin-13 signaling,4,111,0.009132044,3.25E-06,5.84E-05,2,47,0.002991154,9606,Homo sapiens,P03956;P08253;P08254;P08887,P03956;P08253;P08254;P08887,R-HSA-6790022;R-HSA-6789615
R-HSA-1592389,Activation of Matrix Metalloproteinases,3,33,0.002714932,4.32E-06,6.48E-05,14,27,0.001718322,9606,Homo sapiens,P03956;P08253;P08254,P03956;P08253;P08254,R-HSA-1604731;R-HSA-1592316;R-HSA-1604350;R-HSA-1604752;R-HSA-1604368;R-HSA-1604690;R-HSA-1592371;R-HSA-1592436;R-HSA-1592278;R-HSA-1604360;R-HSA-1592297;R-HSA-1602473;R-HSA-1592362;R-HSA-1604359
R-HSA-1442490,Collagen degradation,3,64,0.005265323,3.10E-05,4.03E-04,14,34,0.002163813,9606,Homo sapiens,P03956;P08253;P08254,P03956;P08253;P08254,R-HSA-1474197;R-HSA-1564179;R-HSA-1564112;R-HSA-1564120;R-HSA-1564184;R-HSA-1454822;R-HSA-1454757;R-HSA-1564164;R-HSA-1474213;R-HSA-2484882;R-HSA-1564143;R-HSA-1564142;R-HSA-2168923;R-HSA-1564169
R-HSA-112411,MAPK1 (ERK2) activation,2,10,8.23E-04,4.44E-05,4.89E-04,1,3,1.91E-04,9606,Homo sapiens,P08887,P08887-2;P08887,R-HSA-109858
R-HSA-110056,MAPK3 (ERK1) activation,2,11,9.05E-04,5.37E-05,5.37E-04,1,4,2.55E-04,9606,Homo sapiens,P08887,P08887-2;P08887,R-HSA-109857
R-HSA-1059683,Interleukin-6 signaling,2,15,0.00123406,9.97E-05,8.97E-04,17,20,0.001272831,9606,Homo sapiens,P08887,P08887-2;P08887,R-HSA-1112690;R-HSA-1112755;R-HSA-1067667;R-HSA-1112565;R-HSA-1112727;R-HSA-1067640;R-HSA-1112602;R-HSA-1112604;R-HSA-1067676;R-HSA-1112510;R-HSA-1112703;R-HSA-1112514;R-HSA-1067651;R-HSA-1112708;R-HSA-1067688;R-HSA-1067659;R-HSA-9681294
R-HSA-112409,RAF-independent MAPK1/3 activation,2,24,0.001974496,2.54E-04,0.002031563,2,12,7.64E-04,9606,Homo sapiens,P08887,P08887-2;P08887,R-HSA-109857;R-HSA-109858
R-HSA-1474228,Degradation of the extracellular matrix,3,140,0.011517894,3.11E-04,0.002176748,46,105,0.006682365,9606,Homo sapiens,P03956;P08253;P08254,P03956;P08253;P08254,R-HSA-8940554;R-HSA-4086205;R-HSA-1474197;R-HSA-1564179;R-HSA-3791295;R-HSA-1564112;R-HSA-1604752;R-HSA-1604368;R-HSA-1604690;R-HSA-2534248;R-HSA-1592278;R-HSA-1564120;R-HSA-1564184;R-HSA-1604360;R-HSA-1454791;R-HSA-1566981;R-HSA-1564164;R-HSA-1566979;R-HSA-3791149;R-HSA-1592270;R-HSA-375135;R-HSA-1564169;R-HSA-8943959;R-HSA-1604359;R-HSA-1592314;R-HSA-1604731;R-HSA-1592316;R-HSA-1566962;R-HSA-1604350;R-HSA-1454781;R-HSA-1592371;R-HSA-1592436;R-HSA-1454843;R-HSA-1454822;R-HSA-1592297;R-HSA-1602473;R-HSA-2514772;R-HSA-1592362;R-HSA-1454757;R-HSA-1474213;R-HSA-2533970;R-HSA-2484882;R-HSA-1564143;R-HSA-1564142;R-HSA-2485148;R-HSA-2168923
R-HSA-5669034,TNFs bind their physiological receptors,2,30,0.00246812,3.95E-04,0.002768403,2,13,8.27E-04,9606,Homo sapiens,O75888;Q9UNG2,O75888;Q9UNG2,R-HSA-5676607;R-HSA-5675947
R-HSA-9958825,Activation of STAT3 by cadherin engagement,2,79,0.006499383,0.002669783,0.016018701,10,33,0.002100172,9606,Homo sapiens,P08887,P08887-2;P08887,R-HSA-9958871;R-HSA-1112514;R-HSA-1067651;R-HSA-1067667;R-HSA-1067640;R-HSA-1067688;R-HSA-9958878;R-HSA-9958877;R-HSA-1067659;R-HSA-1112510
R-HSA-9009391,Extra-nuclear estrogen signaling,2,80,0.006581654,0.0027363,0.016417802,1,39,0.002482021,9606,Homo sapiens,P08253;P08254,P08253;P08254,R-HSA-9624272
R-HSA-5668541,TNFR2 non-canonical NF-kB pathway,2,89,0.00732209,0.003369934,0.016849671,2,44,0.002800229,9606,Homo sapiens,O75888;Q9UNG2,O75888;Q9UNG2,R-HSA-5676607;R-HSA-5675947
R-HSA-1474244,Extracellular matrix organization,3,321,0.026408885,0.003387728,0.016938641,47,330,0.021001718,9606,Homo sapiens,P03956;P08253;P08254,P03956;P08253;P08254,R-HSA-8940554;R-HSA-4086205;R-HSA-1474197;R-HSA-1564179;R-HSA-3791295;R-HSA-1564112;R-HSA-1604752;R-HSA-1604368;R-HSA-1604690;R-HSA-2534248;R-HSA-1592278;R-HSA-1564120;R-HSA-1564184;R-HSA-1604360;R-HSA-1454791;R-HSA-1566981;R-HSA-1564164;R-HSA-1566979;R-HSA-3791149;R-HSA-1592270;R-HSA-375135;R-HSA-1564169;R-HSA-8943959;R-HSA-1604359;R-HSA-1592314;R-HSA-1604731;R-HSA-1592316;R-HSA-1566962;R-HSA-1604350;R-HSA-1454781;R-HSA-1592371;R-HSA-1592436;R-HSA-1454843;R-HSA-1454822;R-HSA-2213200;R-HSA-1592297;R-HSA-1602473;R-HSA-2514772;R-HSA-1592362;R-HSA-1454757;R-HSA-1474213;R-HSA-2533970;R-HSA-2484882;R-HSA-1564143;R-HSA-1564142;R-HSA-2485148;R-HSA-2168923
R-HSA-381426,Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs),2,124,0.010201563,0.006417338,0.029483793,1,14,8.91E-04,9606,Homo sapiens,P03956;P08253,P03956;P08253,R-HSA-381435
R-HSA-9732724,IFNG signaling activates MAPKs,1,8,6.58E-04,0.007869457,0.029483793,3,3,1.91E-04,9606,Homo sapiens,P01579,P01579,R-HSA-9732753;R-HSA-9732738;R-HSA-9732729
R-HSA-450520,HuR (ELAVL1) binds and stabilizes mRNA,1,8,6.58E-04,0.007869457,0.029483793,2,7,4.45E-04,9606,Homo sapiens,O75888,O75888,R-HSA-450595;R-HSA-450387
R-HSA-159763,Transport of gamma-carboxylated protein precursors from the endoplasmic reticulum to the Golgi apparatus,1,9,7.40E-04,0.008849137,0.029483793,1,9,5.73E-04,9606,Homo sapiens,P02818,P02818,R-HSA-6807229
