Physical_Metric,Molecular_Target,Interaction_Contrast,Interaction_Beta,Interaction_P_Value,Interaction_CI_Lower,Interaction_CI_Upper,Model_R2,Model_R2_Adj,Simple_Slope_15C,Simple_Slope_15C_P,Simple_Slope_22C,Simple_Slope_22C_P,Simple_Slope_8C,Simple_Slope_8C_P,FDR_Adjusted_P,Significant_After_FDR
BMI_kg·m2,APRIL_per_TNFSF13,Group_8C vs Group_22C Contrast,2653.8112304585566,2.0757560973156492e-05,1431.8285231816028,3875.7939377355106,0.29363669559379846,0.14647767384250654,910.7096473747732,0.11372964839711194,-608.3395897345594,0.26733926246289186,2045.4716407239976,5.24780219279819e-12,0.01986498585131076,True
Weight_kg,IL-35,Group_8C vs Group_22C Contrast,6.714976877552755,0.00021554292706998736,3.1579179797812733,10.272035775324238,0.5873414285268603,0.5013708928032896,1.843112635260588,0.050295350584256576,-0.4372572195852029,0.7458045920730987,6.277719657967552,2.3373793767156315e-07,0.08008768836764527,False
Max_Watts_W,sTNF-R2,Group_8C vs Group_15C (Reference),7.47836132732319,0.0002510585842245933,3.4749175668506833,11.481805087795697,0.26996390845629537,0.117873056051357,-5.2642299319724355,0.00014752118605758076,-2.814292307690212,0.8271930820565998,2.214131395350755,0.13976941329347503,0.08008768836764527,False
VO2max_ml_per_kg_per_min,IL-10,Group_8C vs Group_15C (Reference),0.3009976224759047,0.0006353110505426983,0.12830095608012318,0.4736942888716863,0.3026534352118233,0.15737290088095324,-0.19436319366515306,8.478372859819667e-05,0.11346147650773461,0.7373857820883729,0.10663442881075166,0.14368629389973187,0.13395260692515593,False
Body_Fat__Percent,APRIL_per_TNFSF13,Group_8C vs Group_22C Contrast,1366.0604843590688,0.0008731000552397135,561.6543797045258,2170.466589013612,0.2932708864467226,0.1460356544564565,439.91670499951607,0.24379899831439822,-616.0888459657415,0.02672349777701588,749.9716383933273,0.012968885707989042,0.13395260692515593,False
Body_Density_kg_per_m3,APRIL_per_TNFSF13,Group_8C vs Group_22C Contrast,-590668.0567998854,0.0009239966673956062,-940144.0135722721,-241192.1000274986,0.29563971522110255,0.14889798922549902,-195661.52006423232,0.2401819008326157,266319.41300044407,0.027865047641842278,-324348.6437994414,0.01319806191287376,0.13395260692515593,False
Skinfold_Thickness_mm,APRIL_per_TNFSF13,Group_8C vs Group_22C Contrast,232.52172589993637,0.0009797996326813914,94.26137737466814,370.7820744252046,0.2578509202644024,0.10323652865281963,48.239738807395376,0.2764124070450338,-105.85743042777801,0.03602759859766902,126.66429547215836,0.010134838678296898,0.13395260692515593,False
Weight_kg,APRIL_per_TNFSF13,Group_8C vs Group_22C Contrast,648.8670445355017,0.001398053432953707,250.82057879392005,1046.9135102770833,0.2407367222503034,0.08255687271911671,165.49968279774467,0.3900830209862173,-270.6413452991952,0.06896000806681779,378.22569923630647,0.006203047923903249,0.16724214191708717,False
Weight_kg,IL-35,Group_8C vs Group_15C (Reference),4.434607022706964,0.0038997547016032426,1.4231059310995802,7.446108114314348,0.5873414285268603,0.5013708928032896,1.843112635260588,0.050295350584256576,-0.4372572195852029,0.7458045920730987,6.277719657967552,2.3373793767156315e-07,0.4146739166038114,False
BMI_kg·m2,sCD30_per_TNFRSF8,Group_22C vs Group_15C (Reference),-9.462925953582586,0.0061125758226186835,-16.22775277048838,-2.698099136676791,0.22870371621825059,0.06801699043038623,3.462733515918452,0.10502607291248821,-6.000192437664134,0.02687777945787917,2.5274485933801394,0.735590218282828,0.584973506224608,False
