Physical_Metric,Molecular_Target,Interaction_Contrast,Interaction_Beta,Interaction_P_Value,Interaction_CI_Lower,Interaction_CI_Upper,Model_R2,Model_R2_Adj,Simple_Slope_15C,Simple_Slope_15C_P,Simple_Slope_22C,Simple_Slope_22C_P,Simple_Slope_8C,Simple_Slope_8C_P,FDR_Adjusted_P,Significant_After_FDR
VO2max_ml_per_kg_per_min,beta-Alanine,Group_8C vs Group_15C (Reference),0.6021751662773341,4.646282331161225e-07,0.3680175129023245,0.8363328196523439,0.29284954137335917,0.14552652915947573,-0.07113356162219253,0.30504026112419746,0.04369659095691904,0.9084821091402213,0.5310416046551416,4.791272911752742e-08,0.0012879494621978915,True
Body_Density_kg_per_m3,1-Monooleoylglycerol,Group_22C vs Group_15C (Reference),358.8355278596324,8.953179762580207e-06,200.47009070697982,517.200965012285,0.43834182709107783,0.32132970773505243,-130.37871112594607,0.0007942852683928222,228.45681673368634,0.0012598411965154543,65.9263171391903,0.18164988384858205,0.009253372932552075,True
Body_Fat__Percent,1-Monooleoylglycerol,Group_22C vs Group_15C (Reference),-0.8222352601721163,1.0014472870727354e-05,-1.187098816276658,-0.45737170406757477,0.4368923541723133,0.3195782612915453,0.29520446454626365,0.0011238892681557171,-0.5270307956258526,0.0011909338509406009,-0.1536414305251801,0.18000924797664153,0.009253372932552075,True
BMI_kg·m2,1-Monooleoylglycerol,Group_8C vs Group_15C (Reference),-1.1896948997071344,5.376402006535271e-05,-1.7670586260964112,-0.6123311733178576,0.3954799783697893,0.2695383071968288,0.617533419346433,0.0020172550648073907,-0.7415990010044082,0.0598067355327867,-0.5721614803607014,0.008157792845218337,0.037258465905289424,True
Max_Watts_W,1-Ethyl-1-tetradecyloxy-1-silacyclohexane,Group_8C vs Group_15C (Reference),0.07546316947335985,0.00012793292620002342,0.03684972661948753,0.11407661232723217,0.3749865380585329,0.24477540015406063,-0.04607809250299931,6.883974985651546e-05,-0.07348952079075564,0.4594515555987144,0.029385076970360538,0.06527520356205718,0.07092601428529298,False
Weight_kg,1-Monooleoylglycerol,Group_8C vs Group_15C (Reference),-0.2640062312676167,0.00020039588649276444,-0.4031592104611986,-0.12485325207403478,0.3272130977316182,0.18704915975903869,0.16819920128543003,0.0004806209285121751,-0.15935395817996972,0.1241678536621531,-0.09580702998218665,0.06619388823700767,0.09258289955965718,False
Max_Watts_W,beta-Alanine,Group_8C vs Group_15C (Reference),0.06171155542131071,0.0005253774163396924,0.026829541322695036,0.09659356951992638,0.27497294970365327,0.12392564755858104,-0.002905450566415375,0.7705223583948295,0.012432800367702753,0.9177862597651558,0.05880610485489533,6.686483204143556e-05,0.20804945687051815,False
Skinfold_Thickness_mm,Glutamine_[-H2O],Group_8C vs Group_15C (Reference),0.03455466059758811,0.0007442766155970186,0.014474207344676235,0.05463511385049999,0.2770977106119986,0.12649306698949836,-0.014539103551128606,0.1036973540903171,0.042402825673271576,0.3877717842320707,0.020015557046459506,6.531881758298219e-05,0.24074521035675342,False
Body_Fat__Percent,Ethyl_alpha-D-glucopyranoside,Group_8C vs Group_15C (Reference),-0.5080564328841576,0.0008738623493497155,-0.8072423336700456,-0.2088705320982695,0.22916762708984117,0.06857754940022476,0.22835838021945076,0.04129765123972662,-0.37436959283274096,0.23636631128564,-0.2796980526647068,0.007055613223314605,0.24074521035675342,False
Skinfold_Thickness_mm,Arginine_[-NH3],Group_8C vs Group_15C (Reference),0.016068746815978644,0.000908938778809911,0.006574814734041959,0.02556267889791533,0.2614904539256454,0.10763429849348827,-0.008369421970646567,0.0005407477765562723,0.02185015597434476,0.373317183334996,0.007699324845332077,0.06655752169335383,0.24074521035675342,False
Body_Density_kg_per_m3,Ethyl_alpha-D-glucopyranoside,Group_8C vs Group_15C (Reference),219.8987679777334,0.0010192106390418,88.70502739732638,351.0925085581404,0.22715576818693461,0.06614655322587937,-99.94230099586598,0.04182184009296307,161.20329875887342,0.24334771873067274,119.95646698186742,0.008363417964473152,0.24074521035675342,False
Skinfold_Thickness_mm,Ethyl_alpha-D-glucopyranoside,Group_8C vs Group_15C (Reference),-0.0772290960702286,0.0010421870578214434,-0.12339305821176622,-0.03106513392869098,0.2400359709171096,0.08171013152484086,0.03518050811660985,0.0013428025276420834,-0.06890962487136273,0.18502641127985764,-0.042048587953618745,0.0436473833228308,0.24074521035675342,False
Body_Density_kg_per_m3,1-Monooleoylglycerol,Group_8C vs Group_15C (Reference),196.30502826513637,0.0017792006398315277,73.17728268068873,319.432773849584,0.43834182709107783,0.32132970773505243,-130.37871112594607,0.0007942852683928222,228.45681673368634,0.0012598411965154543,65.9263171391903,0.18164988384858205,0.35291807477918985,False
Muscle_Mass_kg,Oxalic_acid,Group_22C vs Group_15C (Reference),0.418929298905838,0.0018277780576375765,0.15549691629137902,0.6823616815202971,0.39881074848041564,0.2735629877471689,-0.38348422161298007,0.0005822894546338479,0.03544507729285795,0.6368242210419823,-0.07523056811167922,0.6161188428409017,0.35291807477918985,False
BMI_kg·m2,1-Monooleoylglycerol,Group_22C vs Group_15C (Reference),-1.3591324203508413,0.0020983241996196506,-2.225157500249817,-0.49310734045186577,0.3954799783697893,0.2695383071968288,0.617533419346433,0.0020172550648073907,-0.7415990010044082,0.0598067355327867,-0.5721614803607014,0.008157792845218337,0.35291807477918985,False
Body_Fat__Percent,1-Monooleoylglycerol,Group_8C vs Group_15C (Reference),-0.44884589507144373,0.002124670474485128,-0.7351923703093382,-0.16249941983354932,0.4368923541723133,0.3195782612915453,0.29520446454626365,0.0011238892681557171,-0.5270307956258526,0.0011909338509406009,-0.1536414305251801,0.18000924797664153,0.35291807477918985,False
Body_Density_kg_per_m3,beta-Alanine,Group_8C vs Group_15C (Reference),294.26274073016083,0.0022935223726201354,105.1246892771305,483.40079218319113,0.2187077636594602,0.055938547755181145,-65.66013623989153,0.20887665779292164,20.956196835007745,0.9073026203873777,228.6026044902693,0.004837354161496554,0.35291807477918985,False
Body_Fat__Percent,beta-Alanine,Group_8C vs Group_15C (Reference),-0.6811257862249965,0.0024844281314928282,-1.1224083694192724,-0.2398432030307207,0.21907526457411175,0.05638261136038514,0.15072675609772918,0.1948892128796803,-0.048950936032920195,0.9052561449459464,-0.5303990301272674,0.005940179498469922,0.35291807477918985,False
VO2max_ml_per_kg_per_min,Tyrosine,Group_8C vs Group_22C Contrast,0.31109241309805824,0.0027245748925406672,0.10765658907150655,0.5145282371246099,0.4511145256617016,0.3367633851745562,-0.052669660784061184,0.33355838238762825,-0.2713613668250101,0.004343945613985545,0.03973104627304816,0.3381072976500832,0.35291807477918985,False
Age_years,L-5-Oxoproline,Group_8C vs Group_15C (Reference),-0.5890210818827957,0.002935414676588398,-0.9771503609444854,-0.2008918028211059,0.5172286573812006,0.41665129433561743,0.3979450693084799,0.00045397511743284813,0.14264071183822918,0.21726386855513913,-0.19107601257431578,0.23902982200665424,0.35291807477918985,False
Body_Fat__Percent,Glutamine_[-H2O],Group_8C vs Group_15C (Reference),0.24052339438828343,0.0029995223169811554,0.08167870293557772,0.39936808584098915,0.349756812405294,0.21428948165639694,-0.1057999185010885,0.14885071323287236,0.301496000753579,0.15573117076977772,0.13472347588719494,9.860074542311636e-05,0.35291807477918985,False
Skinfold_Thickness_mm,1-Ethyl-1-tetradecyloxy-1-silacyclohexane,Group_8C vs Group_15C (Reference),-0.0896951056547681,0.003128177525802899,-0.14919016634151222,-0.030200044968023976,0.23605060085313556,0.07689447603087218,0.042167972279796975,0.07428451848406241,0.015488075410402386,0.6806653259315312,-0.04752713337497112,0.012646355588948,0.35291807477918985,False
Age_years,1-Monooleoylglycerol,Group_22C vs Group_15C (Reference),-0.3546559870057887,0.003230542920215514,-0.5906952019099501,-0.11861677210162738,0.37836473254659087,0.24885738516046396,0.07337710948456971,0.4226585427801033,-0.281278877521219,0.00032695911534941224,-0.09799083086812513,0.17652307688010094,0.35291807477918985,False
Muscle_Mass_kg,"R*,R*-2,3-Dihydroxybutanoic_acid",Group_8C vs Group_22C Contrast,-0.32419542429917997,0.003259899533145997,-0.5401711119959081,-0.10821973660245188,0.35933714979022,0.2258657226631826,0.2099716374715048,0.26575361435488487,0.10756641802046825,0.003564500641948909,-0.2166290062787117,0.03693731491486485,0.35291807477918985,False
