Physical_Metric,Molecular_Target,Interaction_Contrast,Interaction_Beta,Interaction_P_Value,Interaction_CI_Lower,Interaction_CI_Upper,Model_R2,Model_R2_Adj,Simple_Slope_15C,Simple_Slope_15C_P,Simple_Slope_22C,Simple_Slope_22C_P,Simple_Slope_8C,Simple_Slope_8C_P,FDR_Adjusted_P,Significant_After_FDR
Muscle_Temp2_°C_,IL-20,Group_8C vs Group_15C (Reference),21.691088583429373,9.210833629366496e-05,10.81937394309909,32.56280322375966,0.3684255166474395,0.23684749928232274,-14.571372650664589,0.0012863114815274176,-14.527807432919499,0.09475384630497397,7.119715932764784,0.02636086638800217,0.04808055154529311,True
Core_Temp_°C_,gp130_per_sIL-6Rb,Group_8C vs Group_15C (Reference),-21678.641087352236,0.00040155039521611643,-33684.4626332911,-9672.81954141337,0.37803007431057345,0.24845300645860968,3865.84364180521,0.26637399380390747,-8383.070724312873,0.08993559350325331,-17812.797445547025,0.00041132907112229056,0.09380490199372382,False
Mean_Body_Temp_°C_,MMP-1,Group_8C vs Group_15C (Reference),-1359.5273472268484,0.000539108632147838,-2129.531622732788,-589.5230717209089,0.3942051023307429,0.2679978319829811,842.3342982499979,0.0007238231280414187,-490.54959944450854,0.5159969904799049,-517.1930489768505,0.08860512169118318,0.09380490199372382,False
Muscle_Temp1_°C_,IL-10,Group_22C vs Group_15C (Reference),-2.451280711774391,0.003706960033819139,-4.10679155476505,-0.7957698687837318,0.3961439537683783,0.27034061080345717,-0.018352558452506388,0.9809982705916368,-2.4696332702268977,9.470202400052585e-13,-0.6362717877450891,0.5072453447381815,0.45454272384682093,False
Mean_Skin_Temp_°C_,MMP-1,Group_8C vs Group_15C (Reference),-480.50314953597,0.004451560867389493,-811.6159886502837,-149.39031042165624,0.3051534045592371,0.16039369717574492,365.98711406356733,0.026951724544663675,-222.75957634790757,0.6541082182686913,-114.51603547240268,0.0008143357873364732,0.45454272384682093,False
Core_Temp_°C_,BAFF_per_TNFSF13B,Group_8C vs Group_15C (Reference),-1450.7070967524273,0.005224629009733574,-2468.7839859814026,-432.6302075234522,0.16797962925436516,-0.005357947984308664,1053.7504021888615,0.004985027245931489,-123.38365533582146,0.8368657608169057,-396.95669456356586,0.2690439550092505,0.45454272384682093,False
Core_Temp_°C_,Osteopontin,Group_22C vs Group_15C (Reference),-14158.156051470898,0.008125079280258294,-24642.207686042966,-3674.1044168988283,0.23436632326053375,0.07485930727314505,3973.7878930116262,0.3082817788591823,-10184.368158459272,0.005400488081243271,-6838.335704464431,0.26295673055443425,0.6058987691849756,False
Muscle_Temp2_°C_,IL-10,Group_22C vs Group_15C (Reference),-2.6169057401403832,0.00992089023397507,-4.606005138347792,-0.6278063419329754,0.3442171063905982,0.2075956702219729,0.21711293913079846,0.7832848624222286,-2.3997928010095846,0.00016825810521270412,-0.7439087637502219,0.4118789891734993,0.6473380877668734,False
Core_Temp_°C_,sTNF-R1,Group_22C vs Group_15C (Reference),-322.6569104239821,0.012025338158381239,-574.4670348172648,-70.84678603069938,0.2999511860208375,0.15410768310851197,186.708418083856,4.508931208254485e-09,-135.94849234012608,0.27473512331945615,-253.88513079397856,0.2225211893490191,0.6974696131861119,False
Muscle_Temp3_°C_,IL-20,Group_8C vs Group_15C (Reference),20.670449544354565,0.016503707713202375,3.772864981382721,37.56803410732641,0.25618660631317214,0.10122548262841635,-13.016413077707815,0.09947601489809664,-8.093002998065431,0.706226967430859,7.654036466646749,0.026496376968894397,0.8249172017778246,False
