Physical_Metric,Molecular_Target,Interaction_Contrast,Interaction_Beta,Interaction_P_Value,Interaction_CI_Lower,Interaction_CI_Upper,Model_R2,Model_R2_Adj,Simple_Slope_15C,Simple_Slope_15C_P,Simple_Slope_22C,Simple_Slope_22C_P,Simple_Slope_8C,Simple_Slope_8C_P,FDR_Adjusted_P,Significant_After_FDR
Core_Temp_°C_,"Ethanolamine,_2TMS",Group_22C vs Group_15C (Reference),14.305388154490846,0.0002469000120710959,6.656119016052888,21.954657292928804,0.3771268244942717,0.24736157959724503,-14.975155343498644,4.135659382904199e-50,-0.6697671890077981,0.8590240030996508,-3.418829358631177,0.539082725073682,0.19424609578412466,False
Mean_Skin_Temp_°C_,N-Acetylglutamine,Group_8C vs Group_22C Contrast,-3.55567363479634,0.00047453790574987075,-5.5498523677727505,-1.5614949018199298,0.3377661534008717,0.19980076869272,-1.7930721195805122,0.2784659278907715,1.9576664443865623,0.017636410978608685,-1.5980071904097775,0.007292003527406665,0.19424609578412466,False
Muscle_Temp3_°C_,3-OH-Butanoic_Acid,Group_8C vs Group_22C Contrast,2.4384222176676715,0.0005056787056116919,1.0641616150545454,3.8126828202807976,0.18800705850473276,0.018841862359885497,0.4370752674088195,0.8231887162192758,-2.2543407261541804,0.0006341762423547337,0.18408149151349085,0.43763097555264263,0.19424609578412466,False
Mean_Skin_Temp_°C_,"9-Hexadecenoic_acid,_Z-",Group_8C vs Group_15C (Reference),-1.239861410902839,0.000513878560275462,-1.9394850225199223,-0.5402377992857555,0.297329651945459,0.15093999610076303,0.9524072169963587,1.1265248811659784e-05,0.9612626203971933,0.2581202990146694,-0.2874541939064803,0.3106321617895178,0.19424609578412466,False
Mean_Skin_Temp_°C_,1-Heptadecanol,Group_22C vs Group_15C (Reference),2.7617601550737043,0.0009105843190324728,1.1297748790761786,4.39374543107123,0.265082931481312,0.11197520887325207,-1.1489695166028344,0.0642129037890667,1.61279063847087,0.0036544208231554798,-0.17446583154044182,0.2784543331147473,0.2390001187444931,False
Muscle_Temp1_°C_,"Ethanolamine,_2TMS",Group_8C vs Group_15C (Reference),4.629674628784799,0.0010347587083336589,1.863972729833924,7.395376527735674,0.4786514092886247,0.3700371195570882,-2.8729686099339493,1.1222052877248213e-11,-2.322119946686829,0.3453269681785398,1.7567060188508496,0.19190326427167537,0.2390001187444931,False
Muscle_Temp2_°C_,Linoleic_Acid,Group_22C vs Group_15C (Reference),-5.641832260111337,0.001106482031224505,-9.031762849137268,-2.2519016710854056,0.35512811485591156,0.22077980545089315,4.249706204921727,0.0028272426438040632,-1.3921260551896095,0.1566207288854915,0.37505148986250125,0.7557146576092229,0.2390001187444931,False
Mean_Body_Temp_°C_,Palmitelaidic_acid,Group_8C vs Group_22C Contrast,-8.204639584373819,0.0014874768083979221,-13.266178130473165,-3.143101038274473,0.3807601097039899,0.2517517992256545,-2.8636018760560016,0.1514782883863259,2.889435375914681,0.10707711076477544,-5.315204208459138,0.004236387145766463,0.2811331167872073,False
Mean_Skin_Temp_°C_,1-Heptadecanol,Group_8C vs Group_22C Contrast,-1.7872564700113118,0.0019786396218534575,-2.919667458881272,-0.6548454811413513,0.265082931481312,0.11197520887325207,-1.1489695166028344,0.0642129037890667,1.61279063847087,0.0036544208231554798,-0.17446583154044182,0.2784543331147473,0.3324114564713809,False
Core_Temp_°C_,beta-D-Xylopyranose,Group_8C vs Group_15C (Reference),-18.07935595936494,0.0037821327263290825,-30.316074263874043,-5.842637654855835,0.29874537084890707,0.15265065644242948,10.799157682089062,0.003127919477441523,3.4409640884637476,0.5615760189290193,-7.280198277275877,0.1503652201450021,0.5450329778919872,False
