Pathway identifier,Pathway name,#Entities found,#Entities total,Entities ratio,Entities pValue,Entities FDR,#Reactions found,#Reactions total,Reactions ratio,Species identifier,Species name,Submitted entities found,Mapped entities,Found reaction identifiers,Expected_Hits,Enrichment_Ratio,Log2_Enrichment_Ratio
R-HSA-112411,MAPK1 (ERK2) activation,2,10,0.0008227067050596463,4.4427524161894105e-05,0.0004887027657808352,1,3,0.0001909247120218927,9606,Homo sapiens,P08887,P08887-2;P08887,R-HSA-109858,0.018095238095238095,110.52631578947368,6.7882460991099
R-HSA-110056,MAPK3 (ERK1) activation,2,11,0.0009049773755656108,5.372783014367944e-05,0.0005372783014367943,1,4,0.0002545662826958569,9606,Homo sapiens,P08887,P08887-2;P08887,R-HSA-109857,0.019904761904761904,100.47846889952153,6.650742575359964
R-HSA-1059683,Interleukin-6 signaling,2,15,0.0012340600575894,9.968819759365032e-05,0.000897193778342853,17,20,0.0012728314134792,9606,Homo sapiens,P08887,P08887-2;P08887,R-HSA-1112690;R-HSA-1112755;R-HSA-1067667;R-HSA-1112565;R-HSA-1112727;R-HSA-1067640;R-HSA-1112602;R-HSA-1112604;R-HSA-1067676;R-HSA-1112510;R-HSA-1112703;R-HSA-1112514;R-HSA-1067651;R-HSA-1112708;R-HSA-1067688;R-HSA-1067659;R-HSA-9681294,0.027142857142857142,73.6842105263158,6.203283598388744
R-HSA-450520,HuR (ELAVL1) binds and stabilizes mRNA,1,8,0.0006581653640477169,0.0078694570102553,0.0294837926492339,2,7,0.0004454909947177496,9606,Homo sapiens,O75888,O75888,R-HSA-450595;R-HSA-450387,0.014476190476190476,69.07894736842105,6.110174193997262
R-HSA-9732724,IFNG signaling activates MAPKs,1,8,0.0006581653640477169,0.0078694570102553,0.0294837926492339,3,3,0.0001909247120218927,9606,Homo sapiens,P01579,P01579,R-HSA-9732753;R-HSA-9732738;R-HSA-9732729,0.014476190476190476,69.07894736842105,6.110174193997262
R-HSA-159763,Transport of gamma-carboxylated protein precursors from the endoplasmic reticulum to the Golgi apparatus,1,9,0.0007404360345536817,0.0088491373685953,0.0294837926492339,1,9,0.0005727741360656781,9606,Homo sapiens,P02818,P02818,R-HSA-6807229,0.016285714285714285,61.40350877192983,5.940249192554949
R-HSA-6783589,Interleukin-6 family signaling,3,28,0.002303578774167,2.647745611650265e-06,5.825040345630583e-05,19,34,0.0021638134029147,9606,Homo sapiens,P20809;P08887,P08887-2;P20809;P08887,R-HSA-1112690;R-HSA-449829;R-HSA-1112755;R-HSA-1067667;R-HSA-1112565;R-HSA-1112727;R-HSA-1067640;R-HSA-1112602;R-HSA-1112604;R-HSA-1067676;R-HSA-1112510;R-HSA-1112703;R-HSA-1112514;R-HSA-1067651;R-HSA-1112708;R-HSA-1067688;R-HSA-1067659;R-HSA-9681294;R-HSA-449976,0.050666666666666665,59.21052631578947,5.887781772660814
R-HSA-2179392,EGFR Transactivation by Gastrin,1,10,0.0008227067050596463,0.0098279308830779,0.0294837926492339,2,6,0.0003818494240437854,9606,Homo sapiens,P08254,P08254,R-HSA-2179413;R-HSA-2179402,0.018095238095238095,55.26315789473684,5.7882460991099
R-HSA-159782,Removal of aminoterminal propeptides from gamma-carboxylated proteins,1,10,0.0008227067050596463,0.0098279308830779,0.0294837926492339,1,9,0.0005727741360656781,9606,Homo sapiens,P02818,P02818,R-HSA-6807224,0.018095238095238095,55.26315789473684,5.7882460991099
R-HSA-159740,Gamma-carboxylation of protein precursors,1,10,0.0008227067050596463,0.0098279308830779,0.0294837926492339,1,9,0.0005727741360656781,9606,Homo sapiens,P02818,P02818,R-HSA-6807214,0.018095238095238095,55.26315789473684,5.7882460991099
R-HSA-8877330,RUNX1 and FOXP3 control the development of regulatory T lymphocytes (Tregs),1,10,0.0008227067050596463,0.0098279308830779,0.0294837926492339,1,20,0.0012728314134792,9606,Homo sapiens,P01579,P01579,R-HSA-9006422,0.018095238095238095,55.26315789473684,5.7882460991099
R-HSA-159854,"Gamma-carboxylation, transport, and amino-terminal cleavage of proteins",1,11,0.0009049773755656108,0.0108058382835829,0.0324175148507488,3,27,0.001718322408197,9606,Homo sapiens,P02818,P02818,R-HSA-6807214;R-HSA-6807229;R-HSA-6807224,0.019904761904761904,50.239234449760765,5.650742575359964
R-HSA-1592389,Activation of Matrix Metalloproteinases,3,33,0.0027149321266968,4.322520389510309e-06,6.483780584265464e-05,14,27,0.001718322408197,9606,Homo sapiens,P03956;P08253;P08254,P03956;P08253;P08254,R-HSA-1604731;R-HSA-1592316;R-HSA-1604350;R-HSA-1604752;R-HSA-1604368;R-HSA-1604690;R-HSA-1592371;R-HSA-1592436;R-HSA-1592278;R-HSA-1604360;R-HSA-1592297;R-HSA-1602473;R-HSA-1592362;R-HSA-1604359,0.05971428571428572,50.23923444976076,5.650742575359964
R-HSA-9942503,Differentiation of naive CD4+ T cells to T helper 1 cells (Th1 cells),1,12,0.0009872480460715754,0.0117828602994535,0.0353485808983605,1,16,0.0010182651307834,9606,Homo sapiens,P01579,P01579,R-HSA-9942709,0.021714285714285717,46.05263157894736,5.5252116932761055
R-HSA-112409,RAF-independent MAPK1/3 activation,2,24,0.0019744960921431,0.00025394532496514355,0.0020315625997211,2,12,0.0007636988480875708,9606,Homo sapiens,P08887,P08887-2;P08887,R-HSA-109857;R-HSA-109858,0.043428571428571434,46.05263157894736,5.5252116932761055
R-HSA-877312,Regulation of IFNG signaling,1,14,0.0011517893870835,0.013734251091959,0.0371945695842566,2,4,0.0002545662826958569,9606,Homo sapiens,P01579,P01579,R-HSA-877308;R-HSA-877269,0.025333333333333333,39.473684210526315,5.302819271939658
