Pathway name,#Entities total,Expected_Hits,#Entities found,Raw p,Holm p,Entities FDR,Enrichment_Ratio,Log2_Enrichment_Ratio
Lac-Phe pathway,3,0.00246,2,1.51e-06,0.00517,0.00104,813.0081300813008,9.667125969097572
Oleoyl-phe metabolism,4,0.00328,2,3.03e-06,0.0103,0.00148,609.7560975609756,9.252088469818728
Mitochondrial Uncoupling,12,0.00984,2,3.32e-05,0.113,0.00947,203.2520325203252,7.6671259690975715
Glucose homeostasis,21,0.0172,3,2.75e-07,0.000939,0.000313,174.41860465116278,7.446410125568508
Transcription/Translation,25,0.0205,2,0.00015,0.513,0.0343,97.5609756097561,6.608232280044003
Transport of amino acids/oligopeptides,60,0.0492,3,7.03e-06,0.024,0.00282,60.97560975609756,5.930160374931366
Transport of inorganic cations/anions,79,0.0648,3,1.62e-05,0.0552,0.00554,46.2962962962963,5.5328248773859805
Aerobic respiration and electron transport,95,0.0779,3,2.83e-05,0.0964,0.00879,38.510911424903725,5.267195362208937
Amino acid metabolism,109,0.0894,3,4.28e-05,0.146,0.0105,33.557046979865774,5.0685438590872876
SLC-mediated transmembrane transport,168,0.138,4,1.36e-06,0.00465,0.00104,28.98550724637681,4.857259827883918
Metabolism of vitamins and cofactors,202,0.166,4,2.86e-06,0.00978,0.00148,24.096385542168672,4.5907448533151625
