TimePoint,Group,contrast,estimate,std_error,df,t_ratio,p_value_raw,Contrast_Type,Protein,p_value_FDR,Significant_FDR
X10min,.,15°C - 22°C,-10938.576999999994,8218.545479789953,27.0,-1.330962641369913,0.19433206920772805,Between-Group,APRIL/TNFSF13,0.9547619052379682,False
X10min,.,15°C - 8°C,-4581.017999999992,8218.545479789953,27.0,-0.5574000912041035,0.58184620941015,Between-Group,APRIL/TNFSF13,0.9979364913093677,False
X10min,.,22°C - 8°C,6357.559000000001,8218.545479789953,27.0,0.7735625501658093,0.4459099978199368,Between-Group,APRIL/TNFSF13,0.9748246327115793,False
X2hrs,.,15°C - 22°C,-13960.702000000005,7774.635985471025,27.0,-1.7956727525364902,0.08374741959788819,Between-Group,APRIL/TNFSF13,0.791489245095708,False
X2hrs,.,15°C - 8°C,-7329.084000000008,7774.635985471025,27.0,-0.9426915952973683,0.35419789643908817,Between-Group,APRIL/TNFSF13,0.9587581238028823,False
X2hrs,.,22°C - 8°C,6631.617999999996,7774.635985471025,27.0,0.8529811572391218,0.4011735608161585,Between-Group,APRIL/TNFSF13,0.9639481585472424,False
.,15°C,X10min - X2hrs,2715.117000000032,3083.01044509881,27.0,0.8806707107711446,0.3862682855716677,Within-Group,APRIL/TNFSF13,0.9639481585472424,False
.,22°C,X10min - X2hrs,-307.0079999999789,3083.01044509881,27.0,-0.09958059029220685,0.9214130066880417,Within-Group,APRIL/TNFSF13,0.9995801204593276,False
.,8°C,X10min - X2hrs,-32.94899999998415,3083.0104450988097,27.0,-0.010687281339693336,0.9915515234521233,Within-Group,APRIL/TNFSF13,0.9995801204593276,False
X10min,.,15°C - 22°C,196.6529999999981,1030.7692367290738,27.0,0.19078276009093406,0.8501231115103027,Between-Group,BAFF/TNFSF13B,0.9995801204593276,False
X10min,.,15°C - 8°C,1010.6469999999979,1030.769236729074,27.0,0.9804784271667539,0.335554487294223,Between-Group,BAFF/TNFSF13B,0.9587581238028823,False
X10min,.,22°C - 8°C,813.9939999999997,1030.769236729074,27.0,0.7896956670758197,0.4365862284650819,Between-Group,BAFF/TNFSF13B,0.9748246327115793,False
X2hrs,.,15°C - 22°C,145.75199999999907,941.3879844283514,27.0,0.15482670525958067,0.8781095449353306,Between-Group,BAFF/TNFSF13B,0.9995801204593276,False
X2hrs,.,15°C - 8°C,447.2199999999989,941.3879844283515,27.0,0.4750644871164027,0.638561544055149,Between-Group,BAFF/TNFSF13B,0.9979364913093677,False
X2hrs,.,22°C - 8°C,301.4679999999998,941.3879844283515,27.0,0.320237781856822,0.7512532744757021,Between-Group,BAFF/TNFSF13B,0.9995801204593276,False
.,15°C,X10min - X2hrs,311.1449999999972,192.59255483715793,27.0,1.6155608936341204,0.1178159675214803,Within-Group,BAFF/TNFSF13B,0.8332697516777737,False
.,22°C,X10min - X2hrs,260.2439999999982,192.59255483715793,27.0,1.3512671879764062,0.18782455563762546,Within-Group,BAFF/TNFSF13B,0.9458107478379616,False
.,8°C,X10min - X2hrs,-252.28200000000177,192.592554837158,27.0,-1.3099260260258387,0.2012571382309406,Within-Group,BAFF/TNFSF13B,0.9578432860474494,False
X10min,.,15°C - 22°C,-16.029000000000053,59.78777169783626,27.0,-0.2680983007864825,0.7906613173063195,Between-Group,sCD30/TNFRSF8,0.9995801204593276,False
X10min,.,15°C - 8°C,-51.517000000000024,59.78777169783626,27.0,-0.8616644932071359,0.3964604913627816,Between-Group,sCD30/TNFRSF8,0.9639481585472424,False
X10min,.,22°C - 8°C,-35.48799999999997,59.78777169783626,27.0,-0.5935661924206533,0.557742651636774,Between-Group,sCD30/TNFRSF8,0.9979364913093677,False
