Variable_A,Variable_B,TimeWindow,n,df,r,CI_95%,p_val,p_adj,is_significant
1H-Indole-3-Acetic Acid,APRIL/TNFSF13,time1,30,27,0.20754058881553158,"[-0.17, 0.53]",0.28001081181054943,0.9908428410913599,False
2-OH-Butanoic Acid,APRIL/TNFSF13,time1,30,27,0.004267356338530074,"[-0.36, 0.37]",0.982472193354307,0.9959801770656903,False
3-OH-Butanoic Acid,APRIL/TNFSF13,time1,30,27,0.23281857086041233,"[-0.15, 0.55]",0.22421192640708132,0.9908428410913599,False
Alanine,APRIL/TNFSF13,time1,30,27,-0.019677843726555132,"[-0.38, 0.35]",0.919299021463817,0.9959801770656903,False
Arachidonic acid,APRIL/TNFSF13,time1,30,27,-0.09372371410644946,"[-0.44, 0.28]",0.6286816328786426,0.9908428410913599,False
Arginine [-NH3],APRIL/TNFSF13,time1,30,27,0.14307300660340602,"[-0.24, 0.48]",0.45905567932511215,0.9908428410913599,False
Ascorbic Acid,APRIL/TNFSF13,time1,30,27,-0.08860581062119108,"[-0.44, 0.29]",0.647621533070189,0.9908428410913599,False
Asparagine,APRIL/TNFSF13,time1,30,27,0.3570123044884677,"[-0.01, 0.64]",0.05727660091031621,0.9908428410913599,False
Cholesterol,APRIL/TNFSF13,time1,30,27,-0.1540740235911349,"[-0.49, 0.23]",0.4248709657245533,0.9908428410913599,False
Citric acid,APRIL/TNFSF13,time1,30,27,-0.02187040212404089,"[-0.39, 0.35]",0.9103410989496908,0.9959801770656903,False
Cysteine,APRIL/TNFSF13,time1,30,27,0.06996924999690866,"[-0.30, 0.43]",0.718350463562073,0.9908428410913599,False
Decanoic acid,APRIL/TNFSF13,time1,30,27,0.22321335803200149,"[-0.16, 0.55]",0.2444548979024599,0.9908428410913599,False
Glutamic Acid,APRIL/TNFSF13,time1,30,27,0.00571253590628097,"[-0.36, 0.37]",0.9765376499408718,0.9959801770656903,False
Glutamine [-H2O],APRIL/TNFSF13,time1,30,27,0.12909732474816005,"[-0.25, 0.47]",0.5044965266619637,0.9908428410913599,False
Glyceraldehyde-3-P(MOX),APRIL/TNFSF13,time1,30,27,-0.033529340225236744,"[-0.40, 0.34]",0.8629132717652181,0.9959801770656903,False
Glycerol-3-P,APRIL/TNFSF13,time1,30,27,-0.04626689692752278,"[-0.41, 0.33]",0.811630871261275,0.9959801770656903,False
Glycine,APRIL/TNFSF13,time1,30,27,0.014544682122465742,"[-0.35, 0.38]",0.9403070348230926,0.9959801770656903,False
Indole-3-Latic Acid,APRIL/TNFSF13,time1,30,27,0.05082723194070493,"[-0.32, 0.41]",0.7934430810827614,0.994028844903905,False
Indole-3-Propionic Acid,APRIL/TNFSF13,time1,30,27,0.20287537937940558,"[-0.18, 0.53]",0.2912030404464183,0.9908428410913599,False
Lactic Acid,APRIL/TNFSF13,time1,30,27,0.12024425289242074,"[-0.26, 0.47]",0.5343939067038559,0.9908428410913599,False
Leucine,APRIL/TNFSF13,time1,30,27,0.13508967082340873,"[-0.24, 0.48]",0.48474370243882514,0.9908428410913599,False
Linoleic Acid,APRIL/TNFSF13,time1,30,27,0.07814775409622908,"[-0.30, 0.43]",0.6869892763358298,0.9908428410913599,False
Lysine,APRIL/TNFSF13,time1,30,27,0.17762423962732243,"[-0.20, 0.51]",0.3566224317168505,0.9908428410913599,False
Methionine,APRIL/TNFSF13,time1,30,27,0.18153790397703512,"[-0.20, 0.51]",0.34595089771087995,0.9908428410913599,False
Oleic Acid,APRIL/TNFSF13,time1,30,27,-0.1467649163532722,"[-0.49, 0.23]",0.44742447188612955,0.9908428410913599,False
Ornithine,APRIL/TNFSF13,time1,30,27,0.25696969487002336,"[-0.12, 0.57]",0.17840583019427808,0.9908428410913599,False
Palmitic Acid,APRIL/TNFSF13,time1,30,27,-0.11187316208001455,"[-0.46, 0.27]",0.5634169135759566,0.9908428410913599,False
Phenylalanine,APRIL/TNFSF13,time1,30,27,0.2561105836000229,"[-0.12, 0.57]",0.1799126971491294,0.9908428410913599,False
Proline,APRIL/TNFSF13,time1,30,27,0.03577108856824011,"[-0.34, 0.40]",0.8538420775111383,0.9959801770656903,False
Serine,APRIL/TNFSF13,time1,30,27,0.18675590630114183,"[-0.19, 0.52]",0.33202501293928055,0.9908428410913599,False
Stearic Acid,APRIL/TNFSF13,time1,30,27,-0.08624020866088528,"[-0.44, 0.29]",0.6564501281099767,0.9908428410913599,False
Threonine,APRIL/TNFSF13,time1,30,27,0.1577169919994199,"[-0.22, 0.50]",0.4138685199629578,0.9908428410913599,False
Tryptophan,APRIL/TNFSF13,time1,30,27,0.06561857959756705,"[-0.31, 0.42]",0.7352215208154926,0.9908428410913599,False
Tyrosine,APRIL/TNFSF13,time1,30,27,0.17203843563063614,"[-0.21, 0.51]",0.3721878722486275,0.9908428410913599,False
Valine,APRIL/TNFSF13,time1,30,27,0.09642982856740655,"[-0.28, 0.45]",0.6187584972665348,0.9908428410913599,False
"(R*,R*)-2,3-Dihydroxybutanoic acid, tris(trimethylsilyl)-",APRIL/TNFSF13,time1,30,27,0.07162964230083142,"[-0.30, 0.43]",0.711945285712323,0.9908428410913599,False
1-Ethyl-1-tetradecyloxy-1-silacyclohexane,APRIL/TNFSF13,time1,30,27,0.09621287831432838,"[-0.28, 0.45]",0.6195516565785082,0.9908428410913599,False
1-Heptadecanol,APRIL/TNFSF13,time1,30,27,-0.26141634582274187,"[-0.57, 0.12]",0.17074795796083295,0.9908428410913599,False
1-Monooleoylglycerol,APRIL/TNFSF13,time1,30,27,0.05610371603450567,"[-0.32, 0.41]",0.772531154988409,0.9908428410913599,False
1-Monopalmitin,APRIL/TNFSF13,time1,30,27,0.10908371661142055,"[-0.27, 0.46]",0.5732445609851373,0.9908428410913599,False
"1,3-Dioxolane-2-methanol",APRIL/TNFSF13,time1,30,27,0.0666445214599926,"[-0.31, 0.42]",0.731231913293789,0.9908428410913599,False
"1,5-Anhydrohexitol",APRIL/TNFSF13,time1,30,27,-0.13053193497615098,"[-0.47, 0.25]",0.4997314256640114,0.9908428410913599,False
"11-Eicosenoic acid, (E)-",APRIL/TNFSF13,time1,30,27,0.029323528150789462,"[-0.34, 0.39]",0.8799772199734781,0.9959801770656903,False
2-Aminoadipic acid,APRIL/TNFSF13,time1,30,27,0.20527849068003015,"[-0.17, 0.53]",0.28540285212664557,0.9908428410913599,False
2-Aminoheptanedioic acid,APRIL/TNFSF13,time1,30,27,-0.1563958023467172,"[-0.49, 0.22]",0.41784024823080224,0.9908428410913599,False
"2-Ethyl-3-hydroxypropionic acid, di-",APRIL/TNFSF13,time1,30,27,-0.0189464621885326,"[-0.38, 0.35]",0.9222893597078387,0.9959801770656903,False
2-Keto-3-methylvaleric acid,APRIL/TNFSF13,time1,30,27,-0.009978450641016628,"[-0.38, 0.36]",0.9590282440509027,0.9959801770656903,False
"2,3-Butanediol",APRIL/TNFSF13,time1,30,27,0.08701617100387915,"[-0.29, 0.44]",0.6535491184517467,0.9908428410913599,False
"2,3,4-Trihydroxybutyric acid",APRIL/TNFSF13,time1,30,27,0.07665678703626672,"[-0.30, 0.43]",0.6926705687430375,0.9908428410913599,False
4-Aminobutanoic acid,APRIL/TNFSF13,time1,30,27,-0.4300397700093063,"[-0.69, -0.08]",0.019889191892505115,0.9908428410913599,False
"9-Hexadecenoic acid, (Z)-",APRIL/TNFSF13,time1,30,27,-0.027765629478280294,"[-0.39, 0.34]",0.8863117542578435,0.9959801770656903,False
