Variable_A,Variable_B,n,df,r_rm,CI_95%,p_val,p_adj,is_significant
Aminomalonic acid,IL-12(p40),30,29,0.631676166,"[0.36, 0.81]",0.000138329,0.169104398,FALSE
"Ethanolamine, 3TMS",IL-20,30,29,0.621059003,"[0.34, 0.80]",0.000192808,0.169104398,FALSE
"Ethanolamine, 3TMS",IL-11,30,29,0.612825877,"[0.33, 0.79]",0.000247405,0.169104398,FALSE
Lactic Acid,Osteocalcin,30,29,0.6,"[0.31, 0.79]",0.00035995,0.169104398,FALSE
Aminomalonic acid,IFN-y,30,29,0.580802319,"[0.29, 0.78]",0.000613019,0.239996804,FALSE
Methionine,IFN-y,30,29,0.571040241,"[0.27, 0.77]",0.000793726,0.26635178,FALSE
Lactic Acid,IL-12(p40),30,29,0.552052447,"[0.25, 0.76]",0.001282975,0.306759485,FALSE
Lactic Acid,MMP-2,30,29,0.533333333,"[0.22, 0.75]",0.00200499,0.306759485,FALSE
Lactic Acid,MMP-3,30,29,0.533333333,"[0.22, 0.75]",0.00200499,0.306759485,FALSE
Oleic Acid,MMP-3,30,29,0.533333333,"[0.22, 0.75]",0.00200499,0.306759485,FALSE
Oleic Acid,sTNF-R1,30,29,0.533333333,"[0.22, 0.75]",0.00200499,0.306759485,FALSE
Lactic Acid,TWEAK/TNFSF12,30,29,0.533333333,"[0.22, 0.75]",0.00200499,0.306759485,FALSE
Lactic Acid,APRIL/TNFSF13,30,29,0.527046277,"[0.21, 0.74]",0.002316229,0.306759485,FALSE
L-Rhamnose,MMP-1,30,29,0.527046277,"[0.21, 0.74]",0.002316229,0.306759485,FALSE
"2,3,4-Trihydroxybutyric acid",sIL-6Ra,30,29,0.508547628,"[0.19, 0.73]",0.003486766,0.372291498,FALSE
Lactic Acid,IL-10,30,29,0.508547628,"[0.19, 0.73]",0.003486766,0.372291498,FALSE
Lactic Acid,IFN-a2,30,29,0.501280412,"[0.18, 0.73]",0.004069703,0.37465866,FALSE
"Ethanolamine, 3TMS",IFN-a2,30,29,0.501280412,"[0.18, 0.73]",0.004069703,0.37465866,FALSE
Aminomalonic acid,MMP-1,30,29,0.500319183,"[0.18, 0.73]",0.004152744,0.37465866,FALSE
Oleic Acid,sCD163,30,29,0.483045892,"[0.16, 0.72]",0.005912951,0.37465866,FALSE
L-Rhamnose,IL-12(p40),30,29,0.483045892,"[0.16, 0.72]",0.005912951,0.37465866,FALSE
Lactic Acid,IL-19,30,29,0.483045892,"[0.16, 0.72]",0.005912951,0.37465866,FALSE
2-OH-Butanoic Acid,IL-20,30,29,0.483045892,"[0.16, 0.72]",0.005912951,0.37465866,FALSE
Indole-3-Latic Acid,TSLP,30,29,0.482758621,"[0.15, 0.71]",0.005946908,0.37465866,FALSE
Aminomalonic acid,IL-29/IFN-lambda1,30,29,0.475084549,"[0.15, 0.71]",0.006917672,0.37465866,FALSE
2-Aminoadipic acid,IL-12(p70),30,29,0.467099366,"[0.14, 0.70]",0.008067667,0.37465866,FALSE
Methionine,IL-29/IFN-lambda1,30,29,0.467099366,"[0.14, 0.70]",0.008067667,0.37465866,FALSE
"Ethanolamine, 3TMS",IL-29/IFN-lambda1,30,29,0.467099366,"[0.14, 0.70]",0.008067667,0.37465866,FALSE
Oleic Acid,sCD30/TNFRSF8,30,29,0.466666667,"[0.13, 0.70]",0.008134351,0.37465866,FALSE
Lactic Acid,Chitinase 3-like1,30,29,0.466666667,"[0.13, 0.70]",0.008134351,0.37465866,FALSE
Oleic Acid,Chitinase 3-like1,30,29,0.466666667,"[0.13, 0.70]",0.008134351,0.37465866,FALSE
Oleic Acid,Osteocalcin,30,29,0.466666667,"[0.13, 0.70]",0.008134351,0.37465866,FALSE
Oleic Acid,Pentraxin-3,30,29,0.466666667,"[0.13, 0.70]",0.008134351,0.37465866,FALSE
Lactic Acid,sTNF-R2,30,29,0.466666667,"[0.13, 0.70]",0.008134351,0.37465866,FALSE
Oleic Acid,sTNF-R2,30,29,0.466666667,"[0.13, 0.70]",0.008134351,0.37465866,FALSE
Lactic Acid,MMP-1,30,29,0.45677344,"[0.12, 0.70]",0.009791503,0.442312298,FALSE
"2,3,4-Trihydroxybutyric acid",sCD30/TNFRSF8,30,29,0.440741277,"[0.10, 0.69]",0.013078432,0.529676513,FALSE
2-OH-Butanoic Acid,TSLP,30,29,0.440741277,"[0.10, 0.69]",0.013078432,0.529676513,FALSE
"2,3,4-Trihydroxybutyric acid",Osteocalcin,30,29,0.440741277,"[0.10, 0.69]",0.013078432,0.529676513,FALSE
Aminomalonic acid,Osteocalcin,30,29,0.440741277,"[0.10, 0.69]",0.013078432,0.529676513,FALSE
Aminomalonic acid,IL-35,30,29,0.437014224,"[0.10, 0.69]",0.01396233,0.555446638,FALSE
Ascorbic Acid,IL-35,30,29,0.429668924,"[0.09, 0.68]",0.015850842,0.555446638,FALSE
Methionine,IL-35,30,29,0.429668924,"[0.09, 0.68]",0.015850842,0.555446638,FALSE
Butanoic acid,IL-11,30,29,0.424264069,"[0.08, 0.68]",0.017372356,0.555446638,FALSE
Lactic Acid,IL-26,30,29,0.424264069,"[0.08, 0.68]",0.017372356,0.555446638,FALSE
"2,3,4-Trihydroxybutyric acid",IL-12(p40),30,29,0.421117444,"[0.08, 0.67]",0.018312672,0.555446638,FALSE
Threonine,IFN-y,30,29,0.418762843,"[0.08, 0.67]",0.019043568,0.555446638,FALSE
2-Aminoadipic acid,IFN-y,30,29,0.418762843,"[0.08, 0.67]",0.019043568,0.555446638,FALSE
2-Aminoadipic acid,IL-12(p40),30,29,0.414039336,"[0.07, 0.67]",0.020582702,0.555446638,FALSE
Oleic Acid,IL-19,30,29,0.414039336,"[0.07, 0.67]",0.020582702,0.555446638,FALSE
Lactic Acid,IL-20,30,29,0.414039336,"[0.07, 0.67]",0.020582702,0.555446638,FALSE
