Variable_A,Variable_B,TimeWindow,n,df,r,CI_95%,p_val,p_adj,is_significant
Glutamine [-H2O],IL-12(p40),delta_time2_vs_time1,30,27,0.55412839,"[0.24, 0.77]",0.001815047,0.844531911,FALSE
Arginine [-NH3],IL-26,delta_time2_vs_time1,30,27,0.545212621,"[0.22, 0.76]",0.002223689,0.844531911,FALSE
Tyrosine,APRIL/TNFSF13,delta_time2_vs_time1,30,27,0.533634605,"[0.21, 0.75]",0.002871137,0.844531911,FALSE
2-OH-Butanoic Acid,IL-12(p70),delta_time3_vs_time1,30,27,0.517220755,"[0.19, 0.74]",0.004063186,0.98763082,FALSE
Phenylalanine,IL-29/IFN-lambda1,delta_time2_vs_time1,30,27,0.505681709,"[0.17, 0.74]",0.005135026,0.865196306,FALSE
Dodecanoic acid,sTNF-R1,delta_time2_vs_time1,30,27,0.502672917,"[0.17, 0.73]",0.005451144,0.865196306,FALSE
Citric acid,sTNF-R1,delta_time3_vs_time1,30,27,0.49522358,"[0.16, 0.73]",0.006305828,0.98763082,FALSE
Arginine [-NH3],IL-12(p40),delta_time2_vs_time1,30,27,0.495140073,"[0.16, 0.73]",0.006316019,0.865196306,FALSE
Palmitelaidic acid,sTNF-R1,delta_time2_vs_time1,30,27,0.491699046,"[0.15, 0.73]",0.006748247,0.865196306,FALSE
Glycerol,IL-12(p70),delta_time3_vs_time1,30,27,0.490959863,"[0.15, 0.73]",0.006844294,0.98763082,FALSE
"2,3,4-Trihydroxybutyric acid",IL-35,delta_time3_vs_time1,30,27,0.487188562,"[0.15, 0.72]",0.007352538,0.98763082,FALSE
Methyl galactoside,IL-35,delta_time3_vs_time1,30,27,0.479355004,"[0.14, 0.72]",0.008510821,0.98763082,FALSE
Leucine,IFN-y,delta_time3_vs_time1,30,27,0.475710707,"[0.13, 0.72]",0.009099952,0.98763082,FALSE
L-Rhamnose,MMP-1,delta_time2_vs_time1,30,27,0.473939911,"[0.13, 0.72]",0.009398378,0.913885443,FALSE
L-Alanine,IL-10,delta_time3_vs_time1,30,27,0.473339088,"[0.13, 0.72]",0.009501483,0.98763082,FALSE
Decanoic acid,sTNF-R1,delta_time3_vs_time1,30,27,0.471607296,"[0.13, 0.71]",0.009804004,0.98763082,FALSE
Leucine,IL-10,delta_time3_vs_time1,30,27,0.470547784,"[0.13, 0.71]",0.009993045,0.98763082,FALSE
3-OH-Butanoic Acid,IL-20,delta_time3_vs_time1,30,27,0.466704037,"[0.12, 0.71]",0.010704747,0.98763082,FALSE
Decanoic acid,Pentraxin-3,delta_time3_vs_time1,30,27,0.465383425,"[0.12, 0.71]",0.010958867,0.98763082,FALSE
Methyl galactoside,IFN-a2,delta_time3_vs_time1,30,27,0.460855202,"[0.11, 0.71]",0.011868908,0.98763082,FALSE
Aminomalonic acid,IL-19,delta_time3_vs_time1,30,27,0.460746036,"[0.11, 0.71]",0.011891604,0.98763082,FALSE
Leucine,IL-12(p70),delta_time3_vs_time1,30,27,0.456098311,"[0.11, 0.70]",0.012892081,0.98763082,FALSE
2-OH-Butanoic Acid,IFN-y,delta_time3_vs_time1,30,27,0.455177039,"[0.11, 0.70]",0.013098504,0.98763082,FALSE
Aminomalonic acid,IL-35,delta_time3_vs_time1,30,27,0.453697732,"[0.10, 0.70]",0.013435723,0.98763082,FALSE
Glutamic Acid,TSLP,delta_time2_vs_time1,30,27,0.452273302,"[0.10, 0.70]",0.013767235,0.913885443,FALSE
Glycerol,IL-28A/IFN-lambda2,delta_time3_vs_time1,30,27,0.451949332,"[0.10, 0.70]",0.013843576,0.98763082,FALSE
Tyrosine,IL-10,delta_time2_vs_time1,30,27,0.447850835,"[0.10, 0.70]",0.01484017,0.913885443,FALSE
Glutamine [-H2O],IL-12(p70),delta_time2_vs_time1,30,27,0.445013265,"[0.09, 0.70]",0.015564492,0.913885443,FALSE
beta-D-Xylopyranose,IFN-a2,delta_time3_vs_time1,30,27,0.444334005,"[0.09, 0.70]",0.015742162,0.98763082,FALSE
Glycerol,IFN-y,delta_time3_vs_time1,30,27,0.443016785,"[0.09, 0.70]",0.016091493,0.98763082,FALSE
Diethanolamine,IL-29/IFN-lambda1,delta_time2_vs_time1,30,27,0.442507843,"[0.09, 0.70]",0.016228175,0.913885443,FALSE
Arginine [-NH3],IL-29/IFN-lambda1,delta_time2_vs_time1,30,27,0.441665532,"[0.09, 0.70]",0.0164565,0.913885443,FALSE
Serine,IL-28A/IFN-lambda2,delta_time3_vs_time1,30,27,0.440031859,"[0.09, 0.69]",0.016906922,0.98763082,FALSE
Tyrosine,TWEAK/TNFSF12,delta_time2_vs_time1,30,27,0.438652112,"[0.09, 0.69]",0.017295234,0.913885443,FALSE
L-Alanine,TSLP,delta_time2_vs_time1,30,27,0.434998646,"[0.08, 0.69]",0.018359201,0.913885443,FALSE
"(R*,R*)-2,3-Dihydroxybutanoic acid",TSLP,delta_time2_vs_time1,30,27,0.434380944,"[0.08, 0.69]",0.018544316,0.913885443,FALSE
Butanoic acid,IL-20,delta_time2_vs_time1,30,27,0.434244515,"[0.08, 0.69]",0.018585409,0.913885443,FALSE
Aminomalonic acid,IL-12(p40),delta_time3_vs_time1,30,27,0.43327207,"[0.08, 0.69]",0.01888049,0.98763082,FALSE
Glyceraldehyde-3-P(MOX),IL-26,delta_time2_vs_time1,30,27,0.432025149,"[0.08, 0.69]",0.019264499,0.913885443,FALSE
Erythritol,MMP-2,delta_time2_vs_time1,30,27,0.431244318,"[0.08, 0.69]",0.019508228,0.913885443,FALSE
2-OH-Butanoic Acid,IL-12(p40),delta_time3_vs_time1,30,27,0.430907156,"[0.08, 0.69]",0.019614252,0.98763082,FALSE
Leucine,IL-11,delta_time3_vs_time1,30,27,0.430167596,"[0.08, 0.69]",0.019848476,0.98763082,FALSE
Glycerol,IL-12(p40),delta_time3_vs_time1,30,27,0.429771771,"[0.08, 0.69]",0.01997478,0.98763082,FALSE
Glutamic Acid,Pentraxin-3,delta_time3_vs_time1,30,27,0.428662826,"[0.07, 0.69]",0.020332157,0.98763082,FALSE
Threonine,IL-28A/IFN-lambda2,delta_time3_vs_time1,30,27,0.425142187,"[0.07, 0.68]",0.021501755,0.98763082,FALSE
3-OH-Butanoic Acid,TSLP,delta_time3_vs_time1,30,27,0.424553075,"[0.07, 0.68]",0.021702753,0.98763082,FALSE
Glutamine [-H2O],IL-26,delta_time2_vs_time1,30,27,0.422365297,"[0.07, 0.68]",0.022462737,0.985716153,FALSE
Proline,IL-10,delta_time3_vs_time1,30,27,0.422198937,"[0.07, 0.68]",0.022521407,0.98763082,FALSE
Lactic Acid.1,IL-28A/IFN-lambda2,delta_time2_vs_time1,30,27,0.41936285,"[0.06, 0.68]",0.023541086,0.985716153,FALSE
L-Rhamnose,IL-20,delta_time2_vs_time1,30,27,0.415051473,"[0.06, 0.68]",0.025163274,0.985716153,FALSE
Threonine,APRIL/TNFSF13,delta_time3_vs_time1,30,27,0.414887356,"[0.06, 0.68]",0.025226781,0.98763082,FALSE
Threonine,IL-29/IFN-lambda1,delta_time2_vs_time1,30,27,0.413218514,"[0.06, 0.68]",0.025880022,0.985716153,FALSE
2-Keto-3-methylvaleric acid,IL-12(p70),delta_time2_vs_time1,30,27,0.410844688,"[0.05, 0.68]",0.02683291,0.985716153,FALSE
beta-D-Xylopyranose,TSLP,delta_time2_vs_time1,30,27,0.410638782,"[0.05, 0.68]",0.026916892,0.985716153,FALSE
Ethyl alpha-D-glucopyranoside,IFN-a2,delta_time3_vs_time1,30,27,0.409765815,"[0.05, 0.67]",0.027275324,0.98763082,FALSE
2-OH-Butanoic Acid,IL-20,delta_time3_vs_time1,30,27,0.409734145,"[0.05, 0.67]",0.0272884,0.98763082,FALSE
beta-Alanine,IL-10,delta_time2_vs_time1,30,27,0.408852399,"[0.05, 0.67]",0.027654511,0.985716153,FALSE
Glycerol,IL-10,delta_time3_vs_time1,30,27,0.407440826,"[0.05, 0.67]",0.028248918,0.98763082,FALSE
2-OH-Butanoic Acid,IL-28A/IFN-lambda2,delta_time3_vs_time1,30,27,0.407117416,"[0.05, 0.67]",0.028386556,0.98763082,FALSE
Lactic Acid,IL-12(p40),delta_time2_vs_time1,30,27,0.402669457,"[0.04, 0.67]",0.030335397,0.999017505,FALSE
