Protein,Effect,N,num_df,den_df,F_statistic,p_value_raw,Partial_Eta_Squared,p_value_FDR,Significant_FDR
Core Temp (°C ),TimePoint:Group,30,2.0,27.0,1.3377530745262678,0.2792775286457623,0.09015873682538547,0.2792775286457623,False
Core Temp (°C ),Group,30,2.0,27.0,0.9411400984917491,0.40261122384899806,0.06517076159312678,0.42210361653693446,False
Core Temp (°C ),TimePoint,30,1.0,27.0,7.535467309412875,0.010626963850037842,0.21819502953009215,0.010626963850037842,True
Mean Skin Temp (°C ),TimePoint:Group,30,2.0,27.0,4.4943283758994115,0.020662112088029656,0.24976360784428395,0.024794534505635586,True
Mean Skin Temp (°C ),Group,30,2.0,27.0,1.8836023552393082,0.17148346918341076,0.12244221553203341,0.25722520377511615,False
Mean Skin Temp (°C ),TimePoint,30,1.0,27.0,98.37307891863036,1.6925079906957477e-10,0.7846427619638859,3.3850159813914954e-10,True
Mean Body Temp (°C ),TimePoint:Group,30,2.0,27.0,6.329669839138521,0.005568610599540742,0.31920197817138773,0.017882628452047942,True
Mean Body Temp (°C ),Group,30,2.0,27.0,0.8906530859182332,0.42210361653693446,0.061891081704260456,0.42210361653693446,False
Mean Body Temp (°C ),TimePoint,30,1.0,27.0,59.29058307058537,2.786401319469299e-08,0.6871037482976086,4.179601979203949e-08,True
Muscle Temp3 (°C ),TimePoint:Group,30,2.0,27.0,5.246445257789963,0.011887768708383255,0.27986347201530576,0.018791265904348993,True
Muscle Temp3 (°C ),Group,30,2.0,27.0,5.786009571654252,0.008104640810942351,0.3000107176218703,0.016209281621884702,True
Muscle Temp3 (°C ),TimePoint,30,1.0,27.0,46.343682012407356,2.5976847833046084e-07,0.6318701316981539,3.11722173996553e-07,True
Muscle Temp2 (°C ),TimePoint:Group,30,2.0,27.0,5.173798737452443,0.012527510602899328,0.2770619310079527,0.018791265904348993,True
Muscle Temp2 (°C ),Group,30,2.0,27.0,9.073177519349217,0.0009682878128475083,0.4019450744837272,0.005809726877085051,True
Muscle Temp2 (°C ),TimePoint,30,1.0,27.0,115.81541002343896,2.8725057422045546e-11,0.8109447713270667,1.723503445322733e-10,True
Muscle Temp1 (°C ),TimePoint:Group,30,2.0,27.0,6.229933117743089,0.005960876150682646,0.31576047828264164,0.017882628452047942,True
Muscle Temp1 (°C ),Group,30,2.0,27.0,6.048578708683732,0.00675228628008912,0.30941270968190004,0.016209281621884702,True
Muscle Temp1 (°C ),TimePoint,30,1.0,27.0,106.247387110119,7.38235487538391e-11,0.7973693849794854,2.214706462615173e-10,True
